value,daily_change,volatility_7d,cluster
43,-3.0,4.947341758580102,2
44,1.0,5.061526214398933,2
49,5.0,4.52506248312556,1
50,1.0,4.220133150686572,1
57,7.0,4.434711565216684,1
56,-1.0,3.4016802570830365,1
62,6.0,3.7733400639347594,1
60,-2.0,3.552329886011089,1
71,11.0,4.705619740571593,1
61,-10.0,6.9693205243716925,1
59,-2.0,7.111359122659221,1
65,6.0,6.986381310057715,1
69,4.0,6.986381310057714,1
65,-4.0,7.020378500174634,1
64,-1.0,6.972736021035615,1
62,-2.0,5.250850271282601,1
65,3.0,3.735288603626354,1
42,-23.0,9.744351233016026,0
62,20.0,12.739141034061687,0
51,-11.0,13.125765283811619,0
60,9.0,13.792682670100668,0
50,-10.0,14.23610433604175,0
61,11.0,15.060196672338773,0
64,3.0,15.060196672338773,0
61,-3.0,11.470458952083328,0
62,1.0,8.582928793055823,1
62,0.0,7.114706432386906,1
61,-1.0,6.3358391032961965,1
68,7.0,4.894116973712514,1
65,-3.0,3.552329886011098,1
58,-7.0,4.336994790119516,1
41,-17.0,7.537209285241047,2
42,1.0,7.537209285241047,2
40,-2.0,7.448234050846584,2
42,2.0,7.674943772091229,2
42,0.0,6.575568054403764,2
51,9.0,8.164965809277263,1
50,-1.0,7.861903319777205,1
63,13.0,5.639993245521113,1
66,3.0,5.563486402641865,1
67,1.0,5.177791402666176,1
57,-10.0,7.403345447128871,1
69,12.0,8.173709305420871,1
63,-6.0,8.557925872435167,1
69,6.0,8.596787882968956,1
71,2.0,7.3127416524987705,1
76,5.0,7.435436388384629,1
75,-1.0,7.492853738253344,1
78,3.0,5.656854249492376,1
78,0.0,4.070801956792856,1
77,-1.0,2.828427124746184,1
75,-2.0,2.544836041121403,1
65,-10.0,4.740906081772816,1
67,2.0,4.231401884099631,1
70,3.0,4.535573676110726,1
73,3.0,4.535573676110726,1
68,-5.0,4.790864322059325,1
69,1.0,4.879500364742666,1
65,-4.0,4.995235825502231,1
64,-1.0,3.2877840272018775,1
69,5.0,3.7733400639347656,1
67,-2.0,3.644957377763734,1
70,3.0,3.644957377763734,1
71,1.0,3.0472470011002173,1
71,0.0,3.0394235042348443,1
73,2.0,2.4102953780654732,1
61,-12.0,5.563486402641868,1
62,1.0,5.0990195135927845,1
63,1.0,5.1269595556932455,1
66,3.0,5.1269595556932455,1
42,-24.0,10.123052428797871,0
27,-15.0,10.672617387724623,0
34,7.0,11.457997830586038,0
27,-7.0,11.141941354308825,0
62,35.0,18.859126879754182,0
62,0.0,18.854076229722594,0
46,-16.0,19.675946156229873,0
61,15.0,18.154102251872125,0
60,-1.0,16.580252166501023,0
63,3.0,16.557259952747533,0
67,4.0,15.829448144879484,0
75,8.0,9.546876826630642,1
80,5.0,9.571783930858846,1
84,4.0,4.995235825502229,1
83,-1.0,3.2366943748507486,1
82,-1.0,3.2366943748507486,1
81,-1.0,3.5989416433697508,1
84,3.0,3.5523298860110994,1
83,-1.0,2.734262327610593,1
84,1.0,2.149196970742246,1
80,-4.0,2.1491969707422482,1
87,7.0,3.5523298860111017,1
95,8.0,4.413183712037206,1
92,-3.0,4.685336802448782,1
62,-30.0,12.72043724914847,0
74,12.0,13.97276262011544,0
78,4.0,14.09998311380279,0
65,-13.0,14.825974632702021,0
63,-2.0,14.281189759693726,0
79,16.0,15.606775085565516,0
76,-3.0,15.606775085565516,0
67,-9.0,10.60996835864408,0
72,5.0,9.655987533033336,1
67,-5.0,9.589180410878761,0
74,7.0,8.538428538364766,1
84,10.0,8.962886439832499,1
83,-1.0,6.924765768773766,1
62,-21.0,10.754843869934453,0
33,-29.0,14.814728835729344,0
65,32.0,20.305992547357377,0
61,-4.0,20.276657938202174,0
16,-45.0,25.714550263189423,0
34,18.0,26.81683905949501,0
19,-15.0,26.8044061765261,0
40,21.0,28.36328948616839,0
42,2.0,25.97251294294467,0
34,-8.0,22.217539189096698,0
42,8.0,22.7135369747814,0
42,0.0,13.073054803861327,0
40,-2.0,11.52430144562019,0
20,-20.0,12.759683530931463,0
42,22.0,13.034752084514754,0
24,-18.0,14.683972474063259,0
47,23.0,17.22816077849065,0
16,-31.0,20.838380341046065,0
19,3.0,20.958007902424676,0
22,3.0,21.093894399858478,0
31,9.0,19.915296824778874,0
57,26.0,20.64322787605797,0
61,4.0,18.643267647368805,0
61,0.0,16.95090951345482,0
62,1.0,9.034326074425664,1
64,2.0,9.10781976942785,1
66,2.0,9.178131358729567,1
45,-21.0,13.625955623979792,0
61,16.0,10.952277432222981,0
60,-1.0,10.854009572942328,0
59,-1.0,10.8583959176649,0
45,-14.0,11.984116472191328,0
48,3.0,12.051476890327388,0
45,-3.0,11.902380714238078,0
11,-34.0,15.614401167176528,0
13,2.0,13.208943579112994,0
31,18.0,16.22167861668012,0
20,-11.0,16.33867745419992,0
14,-6.0,15.92542142673303,0
30,16.0,17.60546451964221,0
39,9.0,18.133105740868654,0
11,-28.0,16.360521589077365,0
5,-6.0,16.47653454086114,0
33,28.0,18.696829372153676,0
39,6.0,18.080507788907966,0
33,-6.0,18.080507788907966,0
41,8.0,17.3383692318236,0
30,-11.0,17.55671083198943,0
32,2.0,13.025615788386602,0
20,-12.0,13.885586909076745,0
24,4.0,8.260635280539562,2
20,-4.0,7.6313888145012605,2
24,4.0,7.8467463684911,2
28,4.0,7.174690967295398,2
41,13.0,7.785823502947346,2
43,2.0,7.785823502947346,2
41,-2.0,5.446711546122697,2
43,2.0,5.4379618030497605,2
39,-4.0,5.4379618030497605,2
43,4.0,5.4379618030497605,2
41,-2.0,5.669467095138376,2
41,0.0,2.82842712474613,2
38,-3.0,2.870208222079873,2
39,1.0,2.870208222079872,2
38,-1.0,2.690370836538135,2
39,1.0,2.3094010767584288,2
38,-1.0,1.4960264830860794,2
38,0.0,1.397276262011423,2
41,3.0,1.914854215512587,2
38,-3.0,1.914854215512587,2
31,-7.0,3.1847852585153698,2
41,10.0,5.2870011303555255,2
37,-4.0,5.529143565818148,2
37,0.0,5.520524474738802,2
41,4.0,5.740416444159831,2
39,-2.0,5.677860093212486,2
15,-24.0,10.688222267435073,0
12,-3.0,10.562737740350663,0
24,12.0,10.982670331893209,0
32,8.0,11.614850920470808,0
33,1.0,11.6312387253342,0
27,-6.0,11.590225767142458,0
38,11.0,12.588732679511077,0
39,1.0,6.996597812678716,2
37,-2.0,6.852180744287222,2
30,-7.0,6.7188434378884585,2
31,1.0,5.956189257922397,2
32,1.0,5.956189257922397,2
27,-5.0,5.802298395176376,2
39,12.0,6.121780008803825,2
37,-2.0,6.1566843271976825,2
41,4.0,6.294366339755519,2
39,-2.0,5.529143565818148,2
38,-1.0,5.597618541248859,2
38,0.0,5.610364558225262,2
37,-1.0,5.094347941825393,2
39,2.0,2.2360679774997183,2
40,1.0,2.070196678026984,2
40,0.0,1.3451854182689802,2
40,0.0,1.0690449676495468,2
41,1.0,0.9759000729483664,2
37,-4.0,1.9518001458969847,2
37,0.0,1.9148542155125925,2
39,2.0,1.9148542155125925,2
33,-6.0,2.8867513459480754,2
20,-13.0,5.304984179322013,2
24,4.0,5.8513327745134225,2
53,29.0,13.300554947247937,0
50,-3.0,13.234154946306802,0
52,2.0,13.208943579112985,0
54,2.0,13.208943579112985,0
53,-1.0,12.824827112916186,0
50,-3.0,11.220729116450567,0
49,-1.0,11.399665826346867,0
51,2.0,2.288688541085247,1
56,5.0,2.6726124191241807,1
49,-7.0,3.9096949095439615,2
54,5.0,4.358898943540636,1
53,-1.0,4.358898943540636,1
54,1.0,4.157609203101459,1
42,-12.0,6.350852961085859,2
38,-4.0,6.283008075451613,2
39,1.0,5.71130874835596,2
40,1.0,5.437961803049767,2
39,-1.0,4.705619740571571,2
38,-1.0,4.705619740571571,2
41,3.0,4.980915960897505,2
38,-3.0,2.4397501823712693,2
41,3.0,2.2253945610566745,2
38,-3.0,2.544836041121345,2
38,0.0,2.4976179127510525,2
32,-6.0,3.316624790355354,2
32,0.0,3.3380918415850753,2
30,-2.0,2.8784916685156468,2
20,-10.0,4.3149794459588495,2
23,3.0,4.3149794459588495,2
21,-2.0,4.314979445958849,2
17,-4.0,4.203173404306131,2
21,4.0,4.685336802448748,2
20,-1.0,4.644505202002499,2
32,12.0,6.945365018348202,2
31,-1.0,5.380741673076363,2
38,7.0,5.756983337031366,2
25,-13.0,8.100558475750132,2
28,3.0,7.8709834806319225,2
28,0.0,7.810249675906633,2
24,-4.0,8.017837257372712,2
21,-3.0,6.267831705280064,2
29,8.0,7.250615737399705,2
32,3.0,6.718843437888462,2
28,-4.0,4.503966505838378,2
32,4.0,4.613644360558578,2
26,-6.0,5.250850271282573,2
20,-6.0,5.533448076836659,2
23,3.0,5.559205150447463,2
22,-1.0,4.396968652757606,2
27,5.0,4.750939756661651,2
21,-6.0,5.033222956847138,2
24,3.0,4.879500364742636,2
23,-1.0,4.391550328268366,2
15,-8.0,4.855041562276092,2
21,6.0,5.34522483824846,2
23,2.0,5.398412465054596,2
23,0.0,4.961758520831836,2
20,-3.0,4.525062483125529,2
33,13.0,6.725927091345469,2
25,-8.0,7.58758384279398,2
22,-3.0,6.879922480183408,2
39,17.0,9.107819769427842,0
38,-1.0,9.20920864187165,0
37,-1.0,9.255628917943197,0
37,0.0,9.052755434252083,0
40,3.0,7.810249675906634,2
38,-2.0,6.938505396903343,2
37,-1.0,6.743603671345919,2
39,2.0,1.8257418583504736,2
38,-1.0,1.8257418583504736,2
38,0.0,1.7728105208557534,2
39,1.0,1.799470821684792,2
41,2.0,1.5735915849387927,2
40,-1.0,1.3801311186846008,2
51,11.0,4.163331998932226,1
44,-7.0,5.376314900074362,2
41,-3.0,5.533448076836659,2
50,9.0,6.395683067879582,1
45,-5.0,6.890296835129106,2
49,4.0,6.986381310057696,1
56,7.0,7.227592630889963,1
54,-2.0,6.2144225491229115,1
55,1.0,5.287001130355527,1
54,-1.0,5.047394424471912,1
51,-3.0,4.180453381654933,1
53,2.0,3.532165125838563,1
48,-5.0,3.9339789623471773,2
49,1.0,2.516611478423526,1
52,3.0,2.8702082220798784,1
49,-3.0,2.968084198523269,2
40,-9.0,4.281744192888345,2
41,1.0,4.391550328268368,2
42,1.0,4.2761798705987575,2
50,8.0,5.250850271282572,1
54,4.0,5.437961803049766,1
57,3.0,5.437961803049766,1
57,0.0,5.209880722517246,1
55,-2.0,3.236694374850696,1
57,2.0,3.1997023671108695,1
57,0.0,3.2877840272018286,1
59,2.0,2.0586634591634727,1
56,-3.0,2.214669705568214,1
53,-3.0,2.149196970742172,1
61,8.0,3.9096949095439633,1
56,-5.0,4.375255094603838,1
56,0.0,4.298393941484445,1
56,0.0,4.298393941484445,1
57,1.0,4.231401884099596,1
52,-5.0,4.503966505838381,1
61,9.0,5.580578567035574,1
65,4.0,4.92805380304578,1
63,-2.0,4.472135954999544,1
64,1.0,4.450789122113458,1
59,-5.0,5.028490259085125,1
49,-10.0,6.362090102803496,2
53,4.0,6.362090102803494,1
50,-3.0,5.061526214398909,1
44,-6.0,4.618802153516979,2
44,0.0,4.750939756661656,2
43,-1.0,4.546060565661925,2
46,3.0,4.947341758580077,2
46,0.0,3.408672412985344,2
44,-2.0,2.811540841738143,2
41,-3.0,2.811540841738143,2
39,-2.0,1.9760470401186347,2
40,1.0,2.0701966780269925,2
38,-2.0,2.1380899352993277,2
39,1.0,1.6329931618553652,2
38,-1.0,1.573591584938797,2
38,0.0,1.5735915849387956,2
40,2.0,1.5735915849387918,2
41,1.0,1.3801311186845984,2
39,-2.0,1.5735915849387918,2
38,-1.0,1.4142135623729892,2
33,-5.0,2.2677868380553003,2
17,-16.0,6.1644140029689565,2
16,-1.0,6.09449400220042,2
17,1.0,5.964178784328009,2
14,-3.0,5.669467095138387,2
10,-4.0,5.610364558225271,2
8,-2.0,5.529143565818159,2
12,4.0,6.324555320336739,2
9,-3.0,2.794552524023037,2
8,-1.0,2.794552524023037,2
11,3.0,3.132015933791449,2
12,1.0,3.039423504234798,2
9,-3.0,2.8535691936339727,2
9,0.0,2.7342623276105336,2
11,2.0,2.340126166724815,2
10,-1.0,2.0354009783963547,2
12,2.0,2.070196678026987,2
13,1.0,1.7994708216847894,2
14,1.0,1.7994708216847894,2
12,-2.0,1.5118578920368066,2
8,-4.0,2.2677868380552972,2
12,4.0,2.672612419124187,2
10,-2.0,2.768874620972637,2
12,2.0,2.768874620972637,2
12,0.0,2.734262327610534,2
14,2.0,2.8284271247461366,2
14,0.0,2.6903708365381402,2
12,-2.0,2.225394561056677,2
12,0.0,1.6329931618553595,2
12,0.0,1.3801311186845973,2
20,8.0,3.236694374850699,2
21,1.0,3.1997023671108717,2
22,1.0,3.184785258515372,2
15,-7.0,4.45078912211346,2
15,0.0,4.353433237386402,2
10,-5.0,4.820590756130927,2
11,1.0,4.8452234702013675,2
15,4.0,3.860668582611258,2
18,3.0,4.0766466144427245,2
13,-5.0,4.347960660443196,2
15,2.0,3.6514837167010668,2
18,3.0,3.8234863173610694,2
16,-2.0,3.2366943748506998,2
15,-1.0,3.30943816264644,2
17,2.0,3.0394235042347972,2
19,2.0,2.9113897843109524,2
19,0.0,1.8644544714715245,2
20,1.0,1.7994708216847881,2
24,4.0,2.0354009783963525,2
21,-3.0,2.288688541085249,2
28,7.0,3.1320159337914424,2
26,-2.0,3.4503277967117247,2
26,0.0,3.464101615137709,2
44,18.0,7.230886134196412,1
40,-4.0,7.7551825989370995,2
40,0.0,7.804150299985358,2
45,5.0,7.480132415430932,2
44,-1.0,7.454624643228405,2
40,-4.0,7.681145747868585,2
42,2.0,7.631388814501255,2
49,7.0,4.231401884099591,1
55,6.0,4.059087394500162,1
56,1.0,3.9880774697542605,1
48,-8.0,5.318431562567478,2
40,-8.0,6.2144225491229115,2
39,-1.0,6.039552175136013,2
41,2.0,6.039552175136013,2
40,-1.0,5.154748157905317,2
44,4.0,4.720774754816627,2
41,-3.0,4.598136268408848,2
40,-1.0,3.804758924845326,2
50,10.0,4.429339411136526,1
